clause_id,source_doc,domain,raw_text,word_count,pattern_label,clean_text,token_count
C00044,columbia_integrity,academic,"Collaborative scholarship requires the study of other scholars' work, the free discussion of such work, and the explicit acknowledgement of those ideas in any work that inform our own",29,spacy_sentence,collaborative scholarship require study scholar work free discussion work explicit acknowledgement idea work inform,14
C00045,columbia_integrity,academic,"This exchange of ideas relies upon a mutual trust that sources, opinions, facts, and insights will be properly noted and carefully credited",22,spacy_sentence,exchange idea rely mutual trust source opinion fact insight will properly note carefully credit,14
C00046,columbia_integrity,academic,"In practical terms, this means that, as students, you must be responsible for the full citations of others' ideas in all of your research papers and projects; you must be scrupulously honest when taking your examinations; you must always submit your own work and not that of another student, scholar, or internet agent",53,spacy_sentence,practical term mean student must responsible citation idea research paper project must scrupulously honest take examination must submit work not student scholar internet agent,24
C00047,columbia_integrity,academic,Any breach of this intellectual responsibility is a breach of faith with the rest of our academic community,18,spacy_sentence,breach intellectual responsibility breach faith rest academic community,8
C00048,columbia_integrity,academic,"It undermines our shared intellectual culture, and it cannot be tolerated",11,spacy_sentence,undermine share intellectual culture not tolerate,6
C00049,columbia_integrity,academic,Students failing to meet these responsibilities should anticipate being asked to leave Columbia,13,spacy_sentence,student fail meet responsibility should anticipate ask leave columbia,9
C00050,columbia_integrity,academic,"For more information on academic integrity at Columbia, students may refer to the Columbia University Undergraduate Guide to Academic Integrity : http://www.college.columbia.edu/academics/academicintegrity",22,paragraph,information academic integrity columbia student may refer columbia university undergraduate guide academic integrity,13
C00051,columbia_integrity,academic,"For more information about how academic integrity is defined for students, or how disciplinary processes for violations of academic integrity are handled, please see the",25,paragraph,information academic integrity define student disciplinary process violation academic integrity handle,11
C00052,course_syllabus_policies,academic,Minimum Passing Grade: 50%. Students failing to achieve 50% must retake the course and may not proceed to dependent courses until the requirement is met,25,paragraph,minimum pass grade 50 student fail achieve 50 must retake course may not proceed dependent course requirement meet,18
C00053,course_syllabus_policies,academic,Academic Honesty All submitted work must represent the student's own original effort,12,spacy_sentence,academic honesty submit work must represent student original effort,9
C00054,course_syllabus_policies,academic,"Unauthorized use of AI tools, copying from other students, or submitting previously graded work is a violation of the Academic Integrity Policy",22,spacy_sentence,unauthorized use ai tool copy student submit previously grade work violation academic integrity policy,14
C00055,course_syllabus_policies,academic,Submission Policy All assignments must be submitted through the official course portal before 11:59 PM on the due date,19,spacy_sentence,submission policy assignment must submit official course portal 11 59 pm date,12
C00056,course_syllabus_policies,academic,"Emailed submissions are not accepted unless the portal is unavailable, in which case email submission must be accompanied by a support ticket reference number",24,spacy_sentence,email submission not accept unless portal unavailable case email submission must accompany support ticket reference number,16
C00057,course_syllabus_policies,academic,Communication Students must check the course email account within 48 hours. Failure to respond to official communications regarding academic standing may result in administrative holds on enrollment and registration,29,paragraph,communication student must check course email account 48 hour failure respond official communication academic standing may result administrative hold enrollment registration,21
C00058,course_syllabus_policies,academic,Withdrawal Students wishing to withdraw must do so before the published withdrawal deadline. Unofficial withdrawal after the deadline results in an automatic F grade recorded on the permanent academic transcript,30,paragraph,withdrawal student wish withdraw must publish withdrawal deadline unofficial withdrawal deadline result automatic grade record permanent academic transcript,18
C00059,dissertation_submission_policy,academic,Submission Requirements Students must submit their dissertation by the published deadline. Late submission without an approved extension results in a grade penalty of one grade boundary per week of delay. Submission more than four weeks late without approval results in automatic failure,42,numbered_clause,submission requirement student must submit dissertation publish deadline late submission without approve extension result grade penalty grade boundary week delay submission week late without approval result automatic failure,28
C00060,dissertation_submission_policy,academic,"Originality Requirement All dissertations must be the student's own original work. Plagiarism, contract cheating, or submission of AI-generated content as original work will result in automatic failure of the dissertation and referral to the Academic Misconduct Committee",37,numbered_clause,originality requirement dissertation must student original work plagiarism contract cheating submission ai generate content original work will result automatic failure dissertation referral academic misconduct committee,25
C00061,dissertation_submission_policy,academic,Word Count Students must adhere to the prescribed word count. Submissions exceeding the limit by more than 10% may be penalised. Submissions below 80% of the minimum word count will not be accepted for assessment,35,numbered_clause,word count student must adhere prescribed word count submission exceed limit 10 may penalise submission 80 minimum word count will not accept assessment,23
C00062,dissertation_submission_policy,academic,"Ethical Compliance Dissertations involving human participants, sensitive data, or secondary data must include evidence of ethics approval. Submission without required ethical clearance will not be processed",26,numbered_clause,ethical compliance dissertation involve human participant sensitive datum secondary datum must include evidence ethic approval submission without required ethical clearance will not process,23
C00063,dissertation_submission_policy,academic,Viva Voce Students may be required to defend their dissertation in an oral examination. Failure to attend a scheduled viva without prior notice constitutes a fail for the dissertation module,30,numbered_clause,viva voce student may required defend dissertation oral examination failure attend schedule viva without prior notice constitute fail dissertation module,20
C00064,edinburgh_academic_misconduct,academic,"How the University defines academic misconduct, including plagiarism, and how it deals with suspected cases",15,paragraph,university define academic misconduct include plagiarism deal suspect case,9
C00065,edinburgh_academic_misconduct,academic,Examples of academic misconduct and what you can and cannot do,11,paragraph,example academic misconduct not,4
C00066,edinburgh_academic_misconduct,academic,"The University of Edinburgh is a charitable body, registered in Scotland, with registration number SC005336, VAT Registration Number GB 592 9507 00, and is acknowledged by the UK authorities as a Recognised body which has been granted degree awarding powers",40,paragraph,university edinburgh charitable body register scotland registration number sc005336 vat registration number gb 592 9507 00 acknowledge uk authority recognise body grant degree award power,25
C00067,edinburgh_academic_misconduct,academic,""",""range"":""Please enter a value between {0} and {1}."",""max"":""Please enter a value less than or equal to {0}."",""min"":""Please enter a value greater than or equal to {0}."",""step"":""Please enter a multiple of {0}.""}},""csp"":{""nonce"":""65v1zW2uOuhTC7VBcPgn_w""},""user"":{""uid"":0,""permissionsHash"":""956c4f5b7dfd9f2da306a90accdd9e86ba075fcf32c3fb6b02e2006c4d98c42d""}}",31,spacy_sentence,range enter value max enter value equal min enter value great equal step enter multiple csp nonce 65v1zw2uouhtc7vbcpgn user uid permissionshash 956c4f5b7dfd9f2da306a90accdd9e86ba075fcf32c3fb6b02e2006c4d98c42d,22
C00068,exam_and_assessment_policy,academic,"Academic Integrity Students must not engage in any form of academic dishonesty including plagiarism, fabrication, cheating, contract cheating, or unauthorized collaboration. Violations are treated as serious misconduct and may result in course failure, suspension, or permanent expulsion from the university. All violations are recorded on the student's academic file",49,numbered_clause,academic integrity student must not engage form academic dishonesty include plagiarism fabrication cheating contract cheating unauthorized collaboration violation treat misconduct may result course failure suspension permanent expulsion university violation record student academic file,33
C00069,exam_and_assessment_policy,academic,Examination Conduct Mobile phones and unauthorized electronic devices are strictly prohibited during examinations. Students found in possession of unauthorized materials shall receive a grade of zero for the entire examination and be referred to the Academic Integrity Committee for formal investigation,41,numbered_clause,examination conduct mobile phone unauthorized electronic device strictly prohibited examination student find possession unauthorized material shall receive grade zero entire examination refer academic integrity committee formal investigation,27
C00070,exam_and_assessment_policy,academic,"Plagiarism Presenting another person's work as one's own, whether intentional or unintentional, constitutes plagiarism. Confirmed plagiarism results in a failing grade for the assessment. Repeat offences result in academic suspension for a minimum of one semester",36,numbered_clause,plagiarism present person work intentional unintentional constitute plagiarism confirm plagiarism result fail grade assessment repeat offence result academic suspension minimum semester,21
C00071,exam_and_assessment_policy,academic,Use of AI Tools Submission of AI-generated text as original work without disclosure is considered academic dishonesty. First offences result in assignment failure. Repeat offences result in course failure and referral to the Disciplinary Committee,35,numbered_clause,use ai tool submission ai generate text original work without disclosure consider academic dishonesty offence result assignment failure repeat offence result course failure referral disciplinary committee,26
C00072,exam_and_assessment_policy,academic,Late Submission Assignments submitted after the deadline without approved extension receive a deduction of 10% per calendar day. No submission accepted after 7 days without documented medical or compassionate grounds,30,numbered_clause,late submission assignment submit deadline without approve extension receive deduction 10 calendar day no submission accept day without document medical compassionate ground,22
C00073,exam_and_assessment_policy,academic,Attendance Students must attend at least 75% of scheduled classes. Students below minimum attendance are barred from final examinations without appeal,21,numbered_clause,attendance student must attend 75 schedule class student minimum attendance bar final examination without appeal,15
C00074,examination_board_policy,academic,"Board Authority The Examination Board is the sole body authorised to confirm student results, awards, and academic progression decisions. No individual member of staff may override a Board decision",29,numbered_clause,board authority examination board sole body authorise confirm student result award academic progression decision no individual member staff may override board decision,22
C00075,examination_board_policy,academic,Extenuating Circumstances Claims for extenuating circumstances must be submitted before the assessment or within 5 working days after. Late claims without documented justification will not be considered by the Board,30,numbered_clause,extenuate circumstance claim extenuate circumstance must submit assessment working day late claim without document justification will not consider board,19
C00076,examination_board_policy,academic,Repeat Assessments Students who fail a module are entitled to one further attempt at the failed component. A second failure results in module failure with no further attempts permitted. Students failing core modules may not progress to the next level,40,numbered_clause,repeat assessment student fail module entitle attempt fail component second failure result module failure no attempt permit student fail core module may not progress level,25
C00077,examination_board_policy,academic,Award Classification Attempts to influence award classification through improper means including correspondence with Board members constitute academic misconduct subject to disciplinary action and potential withdrawal of the award,28,numbered_clause,award classification attempt influence award classification improper mean include correspondence board member constitute academic misconduct subject disciplinary action potential withdrawal award,21
C00078,examination_board_policy,academic,Transcript Accuracy Students must report any errors in their academic transcript within 30 days of issue. Alterations to official transcripts by any party other than the Registry constitute fraud and are subject to legal action,35,numbered_clause,transcript accuracy student must report error academic transcript 30 day issue alteration official transcript party registry constitute fraud subject legal action,21
C00079,field_trip_safety_policy,academic,Risk Assessment All off-campus activities must have a completed and approved risk assessment before departure. Conducting a field trip without an approved risk assessment is prohibited and constitutes a serious health and safety violation,34,numbered_clause,risk assessment campus activity must complete approve risk assessment departure conduct field trip without approve risk assessment prohibited constitute health safety violation,22
C00080,field_trip_safety_policy,academic,Student Consent Participation in field trips requires signed informed consent. Students who participate without submitting a valid consent form may be required to leave the activity at their own expense,30,numbered_clause,student consent participation field trip requires sign informed consent student participate without submit valid consent form may required leave activity expense,21
C00081,field_trip_safety_policy,academic,Code of Conduct Students on field trips represent the university and must comply with the student code of conduct at all times. Misconduct on field trips is subject to the same disciplinary procedures as on-campus misconduct,36,numbered_clause,code conduct student field trip represent university must comply student code conduct time misconduct field trip subject disciplinary procedure campus misconduct,21
C00082,field_trip_safety_policy,academic,Alcohol and Substances Consumption of alcohol by students under the legal drinking age during field trips is strictly prohibited. Possession or use of illegal substances during any university activity results in immediate removal and formal disciplinary proceedings,37,numbered_clause,alcohol substance consumption alcohol student legal drinking age field trip strictly prohibited possession use illegal substance university activity result immediate removal formal disciplinary proceeding,24
C00083,field_trip_safety_policy,academic,"Accidents and Incidents All accidents, near-misses, and incidents during field trips must be reported to the trip leader immediately and documented. Failure to report incidents may affect insurance coverage and constitutes a breach of university health and safety policy",39,numbered_clause,accident incident accident near miss incident field trip must report trip leader immediately document failure report incident may affect insurance coverage constitute breach university health safety policy,27
C00084,graduate_admissions_policy,academic,Entry Requirements Applicants who do not meet published entry requirements will not be admitted. Fraudulent or misrepresented qualifications will result in immediate withdrawal of any offer and termination of enrolment if discovered post-admission,33,numbered_clause,entry requirement applicant not meet published entry requirement will not admit fraudulent misrepresented qualification will result immediate withdrawal offer termination enrolment discover post admission,24
C00085,graduate_admissions_policy,academic,Conditional Offers Conditional offers lapse if conditions are not met by the published deadline. Requests for extensions are considered only in exceptional documented circumstances,24,numbered_clause,conditional offer conditional offer lapse condition not meet publish deadline request extension consider only exceptional document circumstance,17
C00086,graduate_admissions_policy,academic,Deferral Policy Deferral of entry is permitted for a maximum of one academic year. A second deferral request will not be granted and the applicant must reapply,27,numbered_clause,deferral policy deferral entry permit maximum academic year second deferral request will not grant applicant must reapply,17
C00087,graduate_admissions_policy,academic,Enrolment Students must complete enrolment by the published deadline. Failure to enrol without notification results in automatic withdrawal of the place,21,numbered_clause,enrolment student must complete enrolment publish deadline failure enrol without notification result automatic withdrawal place,15
C00088,graduate_admissions_policy,academic,False Declaration Providing false information on any application or enrolment document is grounds for immediate withdrawal of admission and may result in legal action,24,numbered_clause,false declaration provide false information application enrolment document ground immediate withdrawal admission may result legal action,16
C00089,harvard_integrity,academic,"If you are located in the European Union, Iceland, Liechtenstein or Norway (the European Economic Area ), please click here for additional information about ways that certain Harvard University Schools, Centers, units and controlled entities, including this one, may collect, use, and share information about you",46,spacy_sentence,locate european union iceland liechtenstein norway european economic area click additional information way certain harvard university school center unit control entity include may collect use share information,27
C00090,harvard_integrity,academic,What is the difference between Harvard College and Harvard University?,10,paragraph,difference harvard college harvard university,5
C00091,harvard_integrity,academic,Paying the admissions application fee is a hardship for my family. Can I get a waiver?,16,paragraph,pay admission application fee hardship family waiver,7
C00092,harvard_integrity,academic,"As a liberal arts and sciences college nestled within a world-class research university, Harvard gives you both the freedom to shape your own course of study and the resources to see it through",33,spacy_sentence,liberal art science college nestle world class research university harvard give freedom shape course study resource,16
C00093,harvard_integrity,academic,"Master the subjects you love, but never forget to explore the unfamiliar terrain that lies just beyond your comfort zone",20,spacy_sentence,master subject love never forget explore unfamiliar terrain lie comfort zone,11
C00094,harvard_integrity,academic,"Fostering a Community of Learning Through intellectual vitality, the Harvard College community seeks to establish a culture in which all members speak, listen, and ask questions of each other and ourselves with curiosity and respect",35,spacy_sentence,foster community learn intellectual vitality harvard college community seek establish culture member speak listen ask question curiosity respect,18
C00095,harvard_integrity,academic,This is critical to achieve the mission of Harvard College and what we as a community believe in,18,spacy_sentence,critical achieve mission harvard college community believe,7
C00096,harvard_integrity,academic,"The Office of Undergraduate Education is responsible for curriculum planning and requirements, as well as a number of student-focused programs that include advising, first-year seminars, career services, and more",29,paragraph,office undergraduate education responsible curriculum planning requirement number student focus program include advise year seminar career service,17
C00097,harvard_integrity,academic,"Harvard faculty are invested in helping you celebrate your passions. You&#039;ll build close and enduring relationships with professors who challenge you to see with new eyes and serve as models of engaged, conscientious leadership",34,paragraph,harvard faculty invest help celebrate passion 039 ll build close endure relationship professor challenge new eye serve model engage conscientious leadership,21
C00098,harvard_integrity,academic,You can take part in hands-on research projects ranging from leading a study to performing lab work with a faculty mentor,21,spacy_sentence,hand research project range lead study perform lab work faculty mentor,11
C00099,harvard_integrity,academic,"Academic integrity is the foundation of the academic experience at Harvard College. Students at Harvard learn how to acknowledge when their work is indebted to others , and about the value of producing original scholarship",35,paragraph,academic integrity foundation academic experience harvard college student harvard learn acknowledge work indebted value produce original scholarship,17
C00100,harvard_integrity,academic,"They&#039;ll guide you as you create a course of study that challenges and excites you, and give you the advice and support you need to branch out and take academic risks",31,spacy_sentence,039 ll guide create course study challenge excite advice support need branch academic risk,14
C00101,harvard_integrity,academic,"The Academic Resource Center (ARC) at Harvard University supports Harvard students in developing reading and study strategies, time management skills, and metacognitive approaches to learning. Students have access to academic coaching, peer tutoring, workshops, accountability hours, and additional skills-based resources",40,paragraph,academic resource center arc harvard university support harvard student develop reading study strategy time management skill metacognitive approach learn student access academic coach peer tutoring workshop accountability hour additional skill base resource,32
C00102,harvard_integrity,academic,Join our email list to download our brochure and stay in touch,12,paragraph,join email list download brochure stay touch,7
C00103,harvard_integrity,academic,"From our libraries to our museums, our support services to our common spaces, our campus is teeming with resources to guide your experience",23,paragraph,library museum support service common space campus teem resource guide experience,11
C00104,harvard_integrity,academic,"As a college within a research university, Harvard undergraduates have access to unparalleled research opportunities. Learn about research at Harvard",20,paragraph,college research university harvard undergraduate access unparalleled research opportunity learn research harvard,12
C00105,harvard_integrity,academic,Members of our community uphold a commitment to making the world a better place for all. Learn how to make an impact through leadership and service,26,paragraph,member community uphold commitment make world well place learn impact leadership service,12
C00106,harvard_integrity,academic,"If you are located in the European Union, Iceland, Liechtenstein or Norway (the European Economic Area ), please read the Additional EEA Privacy Disclosures about ways that certain Harvard University Schools, Centers, units and controlled entities, including this one, may collect, use, and share information about you",47,spacy_sentence,locate european union iceland liechtenstein norway european economic area read additional eea privacy disclosure way certain harvard university school center unit control entity include may collect use share information,29
C00107,harvard_integrity,academic,"Harvard does not discriminate against applicants or students on the basis of race, color, national origin, ancestry or any other protected classification",22,paragraph,harvard not discriminate applicant student basis race color national origin ancestry protect classification,13
C00108,imperial_integrity,academic,"Our mission is to attract, develop, empower, and advocate for the next generation of outstanding STEMB talent through learning and development opportunities, events, support, and resources for early career researchers",30,paragraph,mission attract develop empower advocate generation outstanding stemb talent learning development opportunity event support resource early career researcher,18
C00109,imperial_integrity,academic,Our ECRI Blog keeps you updated with events that have been led by Imperial's early career researcher community as well as ECRI activities,23,paragraph,ecri blog keep update event lead imperial early career researcher community ecri activity,13
C00110,imperial_integrity,academic,"Join us for ECRI s Doctoral Student Spring Welcome Thursday 26 March, 2-4pm, South Kensington Campus The Early Career Researcher Institute",21,paragraph,join ecri doctoral student spring welcome thursday 26 march pm south kensington campus early career researcher institute,17
C00111,imperial_integrity,academic,Applications are now open for the 2026 Imperial As One Media Academy. This is an award-winning communications training programme for Black and,22,paragraph,application open 2026 imperial medium academy award win communication training programme black,12
C00112,imperial_integrity,academic,Apply now: STEP UP Digital Research Technical Career and Bridging Placements,11,paragraph,apply step digital research technical career bridging placement,8
C00113,imperial_integrity,academic,Black Women at Imperial is a new partnership with WHEN Equality for a new initiative to strengthen the career progression of Black women across,24,paragraph,black woman imperial new partnership equality new initiative strengthen career progression black woman,13
C00114,international_student_policy,academic,Visa Compliance International students must maintain valid immigration status at all times. Failure to comply with visa conditions may result in reporting to immigration authorities and termination of enrollment,29,numbered_clause,visa compliance international student must maintain valid immigration status time failure comply visa condition may result report immigration authority termination enrollment,21
C00115,international_student_policy,academic,Attendance Monitoring International students are subject to mandatory attendance monitoring. Absence below 70% of required contact hours triggers a mandatory welfare review and may result in reporting to immigration authorities,30,numbered_clause,attendance monitor international student subject mandatory attendance monitoring absence 70 required contact hour trigger mandatory welfare review may result report immigration authority,22
C00116,international_student_policy,academic,English Language Requirements Students who do not meet minimum English proficiency standards after enrollment may be required to undertake additional language support. Failure to meet minimum standards after support may result in suspension from assessments,35,numbered_clause,english language requirement student not meet minimum english proficiency standard enrollment may required undertake additional language support failure meet minimum standard support may result suspension assessment,26
C00117,international_student_policy,academic,Fee Payment International tuition fees must be paid by the published deadlines. Non-payment results in removal from course registration and may affect visa status. Outstanding fees must be settled before any academic transcript is released,35,numbered_clause,fee payment international tuition fee must pay publish deadline non payment result removal course registration may affect visa status outstanding fee must settle academic transcript release,26
