clause_id,source_doc,domain,raw_text,word_count,pattern_label
C000057,columbia_integrity,academic,"It undermines our shared intellectual culture, and it cannot be tolerated",11,spacy_sentence
C000058,columbia_integrity,academic,Students failing to meet these responsibilities should anticipate being asked to leave Columbia,13,spacy_sentence
C000059,columbia_integrity,academic,"For more information on academic integrity at Columbia, students may refer to the Columbia University Undergraduate Guide to Academic Integrity : http://www.college.columbia.edu/academics/academicintegrity",22,paragraph
C000060,columbia_integrity,academic,"For more information about how academic integrity is defined for students, or how disciplinary processes for violations of academic integrity are handled, please see the",25,paragraph
C000061,columbia_integrity,academic,"208 Hamilton Hall Mail Code 2805 1130 Amsterdam Avenue New York, NY 10027",13,paragraph
C000062,columbia_integrity,academic,Eric H. Holder Jr. Initiative for Civil and Political Rights,10,paragraph
C000063,course_syllabus_policies,academic,Grading Breakdown Midterm Examination: 25% Final Examination: 35% Assignments ( 4): 25% Class Participation: 15%,15,paragraph
C000064,course_syllabus_policies,academic,Minimum Passing Grade: 50%. Students failing to achieve 50% must retake the course and may not proceed to dependent courses until the requirement is met,25,paragraph
C000065,course_syllabus_policies,academic,Academic Honesty All submitted work must represent the student's own original effort,12,spacy_sentence
C000066,course_syllabus_policies,academic,"Unauthorized use of AI tools, copying from other students, or submitting previously graded work is a violation of the Academic Integrity Policy",22,spacy_sentence
C000067,course_syllabus_policies,academic,Submission Policy All assignments must be submitted through the official course portal before 11:59 PM on the due date,19,spacy_sentence
C000068,course_syllabus_policies,academic,"Emailed submissions are not accepted unless the portal is unavailable, in which case email submission must be accompanied by a support ticket reference number",24,spacy_sentence
C000069,course_syllabus_policies,academic,Communication Students must check the course email account within 48 hours. Failure to respond to official communications regarding academic standing may result in administrative holds on enrollment and registration,29,paragraph
C000070,course_syllabus_policies,academic,Withdrawal Students wishing to withdraw must do so before the published withdrawal deadline. Unofficial withdrawal after the deadline results in an automatic F grade recorded on the permanent academic transcript,30,paragraph
C000071,dissertation_submission_policy,academic,Submission Requirements Students must submit their dissertation by the published deadline. Late submission without an approved extension results in a grade penalty of one grade boundary per week of delay. Submission more than four weeks late without approval results in automatic failure,42,numbered_clause
C000072,dissertation_submission_policy,academic,"Originality Requirement All dissertations must be the student's own original work. Plagiarism, contract cheating, or submission of AI-generated content as original work will result in automatic failure of the dissertation and referral to the Academic Misconduct Committee",37,numbered_clause
C000073,dissertation_submission_policy,academic,Word Count Students must adhere to the prescribed word count. Submissions exceeding the limit by more than 10% may be penalised. Submissions below 80% of the minimum word count will not be accepted for assessment,35,numbered_clause
C000074,dissertation_submission_policy,academic,"Ethical Compliance Dissertations involving human participants, sensitive data, or secondary data must include evidence of ethics approval. Submission without required ethical clearance will not be processed",26,numbered_clause
C000075,dissertation_submission_policy,academic,Viva Voce Students may be required to defend their dissertation in an oral examination. Failure to attend a scheduled viva without prior notice constitutes a fail for the dissertation module,30,numbered_clause
C000076,edinburgh_academic_misconduct,academic,Academic misconduct | Academic Quality and Standards | Student Administration,10,paragraph
C000077,edinburgh_academic_misconduct,academic,"How the University defines academic misconduct, including plagiarism, and how it deals with suspected cases",15,paragraph
C000078,edinburgh_academic_misconduct,academic,Examples of academic misconduct and what you can and cannot do,11,paragraph
C000079,edinburgh_academic_misconduct,academic,"The University of Edinburgh is a charitable body, registered in Scotland, with registration number SC005336, VAT Registration Number GB 592 9507 00, and is acknowledged by the UK authorities as a Recognised body which has been granted degree awarding powers",40,paragraph
C000080,edinburgh_academic_misconduct,academic,""",""dateISO"":""Please enter a valid date (ISO)."",""number"":""Please enter a valid number",10,spacy_sentence
C000081,edinburgh_academic_misconduct,academic,""",""rangelength"":""Please enter a value between {0} and {1} characters long",10,spacy_sentence
C000082,edinburgh_academic_misconduct,academic,""",""range"":""Please enter a value between {0} and {1}."",""max"":""Please enter a value less than or equal to {0}."",""min"":""Please enter a value greater than or equal to {0}."",""step"":""Please enter a multiple of {0}.""}},""csp"":{""nonce"":""65v1zW2uOuhTC7VBcPgn_w""},""user"":{""uid"":0,""permissionsHash"":""956c4f5b7dfd9f2da306a90accdd9e86ba075fcf32c3fb6b02e2006c4d98c42d""}}",31,spacy_sentence
C000083,examination_board_policy,academic,"Board Authority The Examination Board is the sole body authorised to confirm student results, awards, and academic progression decisions. No individual member of staff may override a Board decision",29,numbered_clause
C000084,examination_board_policy,academic,Extenuating Circumstances Claims for extenuating circumstances must be submitted before the assessment or within 5 working days after. Late claims without documented justification will not be considered by the Board,30,numbered_clause
C000085,examination_board_policy,academic,Repeat Assessments Students who fail a module are entitled to one further attempt at the failed component. A second failure results in module failure with no further attempts permitted. Students failing core modules may not progress to the next level,40,numbered_clause
C000086,examination_board_policy,academic,Award Classification Attempts to influence award classification through improper means including correspondence with Board members constitute academic misconduct subject to disciplinary action and potential withdrawal of the award,28,numbered_clause
C000087,examination_board_policy,academic,Transcript Accuracy Students must report any errors in their academic transcript within 30 days of issue. Alterations to official transcripts by any party other than the Registry constitute fraud and are subject to legal action,35,numbered_clause
C000088,exam_and_assessment_policy,academic,"Academic Integrity Students must not engage in any form of academic dishonesty including plagiarism, fabrication, cheating, contract cheating, or unauthorized collaboration. Violations are treated as serious misconduct and may result in course failure, suspension, or permanent expulsion from the university. All violations are recorded on the student's academic file",49,numbered_clause
C000089,exam_and_assessment_policy,academic,Examination Conduct Mobile phones and unauthorized electronic devices are strictly prohibited during examinations. Students found in possession of unauthorized materials shall receive a grade of zero for the entire examination and be referred to the Academic Integrity Committee for formal investigation,41,numbered_clause
C000090,exam_and_assessment_policy,academic,"Plagiarism Presenting another person's work as one's own, whether intentional or unintentional, constitutes plagiarism. Confirmed plagiarism results in a failing grade for the assessment. Repeat offences result in academic suspension for a minimum of one semester",36,numbered_clause
C000091,exam_and_assessment_policy,academic,Use of AI Tools Submission of AI-generated text as original work without disclosure is considered academic dishonesty. First offences result in assignment failure. Repeat offences result in course failure and referral to the Disciplinary Committee,35,numbered_clause
C000092,exam_and_assessment_policy,academic,Late Submission Assignments submitted after the deadline without approved extension receive a deduction of 10% per calendar day. No submission accepted after 7 days without documented medical or compassionate grounds,30,numbered_clause
C000093,exam_and_assessment_policy,academic,Attendance Students must attend at least 75% of scheduled classes. Students below minimum attendance are barred from final examinations without appeal,21,numbered_clause
C000094,field_trip_safety_policy,academic,Risk Assessment All off-campus activities must have a completed and approved risk assessment before departure. Conducting a field trip without an approved risk assessment is prohibited and constitutes a serious health and safety violation,34,numbered_clause
C000095,field_trip_safety_policy,academic,Student Consent Participation in field trips requires signed informed consent. Students who participate without submitting a valid consent form may be required to leave the activity at their own expense,30,numbered_clause
C000096,field_trip_safety_policy,academic,Code of Conduct Students on field trips represent the university and must comply with the student code of conduct at all times. Misconduct on field trips is subject to the same disciplinary procedures as on-campus misconduct,36,numbered_clause
C000097,field_trip_safety_policy,academic,Alcohol and Substances Consumption of alcohol by students under the legal drinking age during field trips is strictly prohibited. Possession or use of illegal substances during any university activity results in immediate removal and formal disciplinary proceedings,37,numbered_clause
C000098,field_trip_safety_policy,academic,"Accidents and Incidents All accidents, near-misses, and incidents during field trips must be reported to the trip leader immediately and documented. Failure to report incidents may affect insurance coverage and constitutes a breach of university health and safety policy",39,numbered_clause
C000099,graduate_admissions_policy,academic,Entry Requirements Applicants who do not meet published entry requirements will not be admitted. Fraudulent or misrepresented qualifications will result in immediate withdrawal of any offer and termination of enrolment if discovered post-admission,33,numbered_clause
C000100,graduate_admissions_policy,academic,Conditional Offers Conditional offers lapse if conditions are not met by the published deadline. Requests for extensions are considered only in exceptional documented circumstances,24,numbered_clause
C000101,graduate_admissions_policy,academic,Deferral Policy Deferral of entry is permitted for a maximum of one academic year. A second deferral request will not be granted and the applicant must reapply,27,numbered_clause
C000102,graduate_admissions_policy,academic,Enrolment Students must complete enrolment by the published deadline. Failure to enrol without notification results in automatic withdrawal of the place,21,numbered_clause
C000103,graduate_admissions_policy,academic,False Declaration Providing false information on any application or enrolment document is grounds for immediate withdrawal of admission and may result in legal action,24,numbered_clause
C000104,harvard_integrity,academic,"If you are located in the European Union, Iceland, Liechtenstein or Norway (the European Economic Area ), please click here for additional information about ways that certain Harvard University Schools, Centers, units and controlled entities, including this one, may collect, use, and share information about you",46,spacy_sentence
C000105,harvard_integrity,academic,What is the difference between Harvard College and Harvard University?,10,paragraph
C000106,harvard_integrity,academic,Paying the admissions application fee is a hardship for my family. Can I get a waiver?,16,paragraph
C000107,harvard_integrity,academic,"Female student wearing backup walking up Widener steps, pans to student walking into Widener, view of Loker Reading room. Students seen studying at tables",24,paragraph
C000108,harvard_integrity,academic,"As a liberal arts and sciences college nestled within a world-class research university, Harvard gives you both the freedom to shape your own course of study and the resources to see it through",33,spacy_sentence
C000109,harvard_integrity,academic,Stake a claim and learn from those who challenge it,10,spacy_sentence
C000110,harvard_integrity,academic,Ask a complex question and grow from the process of answering it,12,spacy_sentence
C000111,harvard_integrity,academic,"Master the subjects you love, but never forget to explore the unfamiliar terrain that lies just beyond your comfort zone",20,spacy_sentence
C000112,harvard_integrity,academic,Harvard College&#039;s academic opportunities expose you to the world s richness and complexity,13,spacy_sentence
C000113,harvard_integrity,academic,"You&#039;ll engage in scholarship that explores the human experience from diverse points of view, and dive deeply into a particular field of study",23,spacy_sentence
C000114,harvard_integrity,academic,You&#039;ll gain a broad foundation of critical thinking skills that prepare you to confidently tackle any challenge,17,spacy_sentence
C000115,harvard_integrity,academic,"Fostering a Community of Learning Through intellectual vitality, the Harvard College community seeks to establish a culture in which all members speak, listen, and ask questions of each other and ourselves with curiosity and respect",35,spacy_sentence
C000116,harvard_integrity,academic,This is critical to achieve the mission of Harvard College and what we as a community believe in,18,spacy_sentence
C000117,harvard_integrity,academic,"The Office of Undergraduate Education is responsible for curriculum planning and requirements, as well as a number of student-focused programs that include advising, first-year seminars, career services, and more",29,paragraph
C000118,harvard_integrity,academic,"Harvard faculty are invested in helping you celebrate your passions. You&#039;ll build close and enduring relationships with professors who challenge you to see with new eyes and serve as models of engaged, conscientious leadership",34,paragraph
C000119,harvard_integrity,academic,"At Harvard, we put that power into your hands from the moment you arrive",14,spacy_sentence
C000120,harvard_integrity,academic,You can take part in hands-on research projects ranging from leading a study to performing lab work with a faculty mentor,21,spacy_sentence
C000121,harvard_integrity,academic,"Academic integrity is the foundation of the academic experience at Harvard College. Students at Harvard learn how to acknowledge when their work is indebted to others , and about the value of producing original scholarship",35,paragraph
C000122,harvard_integrity,academic,"Your advisers help you plan your degree, discover special academic opportunities, and prepare for your career after graduation",18,spacy_sentence
C000123,harvard_integrity,academic,"They&#039;ll guide you as you create a course of study that challenges and excites you, and give you the advice and support you need to branch out and take academic risks",31,spacy_sentence
C000124,harvard_integrity,academic,"The Academic Resource Center (ARC) at Harvard University supports Harvard students in developing reading and study strategies, time management skills, and metacognitive approaches to learning. Students have access to academic coaching, peer tutoring, workshops, accountability hours, and additional skills-based resources",40,paragraph
C000125,harvard_integrity,academic,Join our email list to download our brochure and stay in touch,12,paragraph
C000126,harvard_integrity,academic,"From our libraries to our museums, our support services to our common spaces, our campus is teeming with resources to guide your experience",23,paragraph
C000127,harvard_integrity,academic,"As a college within a research university, Harvard undergraduates have access to unparalleled research opportunities. Learn about research at Harvard",20,paragraph
C000128,harvard_integrity,academic,Members of our community uphold a commitment to making the world a better place for all. Learn how to make an impact through leadership and service,26,paragraph
C000129,harvard_integrity,academic,"If you are located in the European Union, Iceland, Liechtenstein or Norway (the European Economic Area ), please read the Additional EEA Privacy Disclosures about ways that certain Harvard University Schools, Centers, units and controlled entities, including this one, may collect, use, and share information about you",47,spacy_sentence
C000130,harvard_integrity,academic,"Harvard does not discriminate against applicants or students on the basis of race, color, national origin, ancestry or any other protected classification",22,paragraph
C000131,imperial_integrity,academic,Early Career Researcher Institute | Administration and support services | Imperial College London,13,paragraph
C000132,imperial_integrity,academic,"{""@context"": ""https://schema.org"", ""@type"": ""BreadcrumbList"", ""itemListElement"": [{""@type"": ""ListItem"",""position"": 1,""name"": ""Home"",""item"": ""https://www.imperial.ac.uk/""},{""@type"": ""ListItem"",""position"": 2,""name"": ""Administration and support services"",""item"": ""https://www.imperial.ac.uk/admin-services/""},{""@type"": ""ListItem"",""position"": 3,""name"": ""Early Career Researcher Institute"",""item"": ""https://www.imperial.ac.uk/admin-services/early-career-researcher-institute/""}]}",24,paragraph
C000133,imperial_integrity,academic,Plan and engage in a variety of stimulating development activities,10,paragraph
C000134,imperial_integrity,academic,Fostering Self-Efficacy in PGRs: Coaching and Mentoring Approaches to PhD Supervision,11,paragraph
C000135,imperial_integrity,academic,"Our mission is to attract, develop, empower, and advocate for the next generation of outstanding STEMB talent through learning and development opportunities, events, support, and resources for early career researchers",30,paragraph
C000136,imperial_integrity,academic,Find out about our learning and development offer by programme,10,paragraph
C000137,imperial_integrity,academic,"Through the ECRI Academy we work with internal and external departments/ organisations to deliver ECRI courses and/ or programmes to your learners, and much more",25,paragraph
C000138,imperial_integrity,academic,Our ECRI Blog keeps you updated with events that have been led by Imperial's early career researcher community as well as ECRI activities,23,paragraph
C000139,imperial_integrity,academic,"Join us for ECRI s Doctoral Student Spring Welcome Thursday 26 March, 2-4pm, South Kensington Campus The Early Career Researcher Institute",21,paragraph
C000140,imperial_integrity,academic,Applications open: Imperial As One Media Academy 2026 (deadline: 24 March),11,paragraph
C000141,imperial_integrity,academic,Applications are now open for the 2026 Imperial As One Media Academy. This is an award-winning communications training programme for Black and,22,paragraph
C000142,imperial_integrity,academic,Apply now: STEP UP Digital Research Technical Career and Bridging Placements,11,paragraph
C000143,imperial_integrity,academic,"STEP UP invites applications for 1 3 month funded placements that develop specialist skills in research software, data, and computing infrastructure",21,paragraph
C000144,imperial_integrity,academic,WHEN Equality Initiative for Black Women at Imperial (sign up by 31 March),13,paragraph
C000145,imperial_integrity,academic,Black Women at Imperial is a new partnership with WHEN Equality for a new initiative to strengthen the career progression of Black women across,24,paragraph
C000146,international_student_policy,academic,Visa Compliance International students must maintain valid immigration status at all times. Failure to comply with visa conditions may result in reporting to immigration authorities and termination of enrollment,29,numbered_clause
C000147,international_student_policy,academic,Attendance Monitoring International students are subject to mandatory attendance monitoring. Absence below 70% of required contact hours triggers a mandatory welfare review and may result in reporting to immigration authorities,30,numbered_clause
C000148,international_student_policy,academic,English Language Requirements Students who do not meet minimum English proficiency standards after enrollment may be required to undertake additional language support. Failure to meet minimum standards after support may result in suspension from assessments,35,numbered_clause
C000149,international_student_policy,academic,Fee Payment International tuition fees must be paid by the published deadlines. Non-payment results in removal from course registration and may affect visa status. Outstanding fees must be settled before any academic transcript is released,35,numbered_clause
C000150,library_and_it_policy,academic,"IT Systems Access University IT systems are provided for academic and administrative use only. Unauthorized use, access to restricted areas, or attempts to compromise system security are serious violations subject to disciplinary action and may result in criminal prosecution under applicable computer misuse laws",44,numbered_clause
C000151,library_and_it_policy,academic,Software and Copyright Installation of unlicensed software on university equipment is prohibited. Downloading or distributing copyrighted materials without authorization constitutes copyright infringement and subjects the student to legal liability,29,numbered_clause
C000152,library_and_it_policy,academic,Library Resources Library materials must be returned by the due date. Overdue materials attract fines. Theft or deliberate damage to library resources is a disciplinary offence that may result in suspension of library privileges and financial restitution,37,numbered_clause
C000153,library_and_it_policy,academic,"Data and Privacy Students must not access, share, or modify other users' data without authorization. Unauthorized access to another person's files or accounts constitutes a serious breach of privacy and university policy, subject to immediate disciplinary action",37,numbered_clause
C000154,library_borrowing_policy,academic,Loan Periods Standard loan items may be borrowed for 3 weeks and renewed twice online. Items recalled by another user must be returned within 5 working days of notification. Failure to return recalled items results in suspension of borrowing privileges,40,numbered_clause
C000155,library_borrowing_policy,academic,Overdue Fines Overdue fines accrue daily. Outstanding fines above a threshold result in suspension of library and IT services. Unpaid fines may be referred to the finance department and added to student accounts,33,numbered_clause
C000156,library_borrowing_policy,academic,Damage and Loss Students are responsible for all items borrowed. Damaged or lost items must be reported immediately. Students will be charged the full replacement cost plus a processing fee. Deliberate damage is a disciplinary offence,36,numbered_clause
C000157,library_borrowing_policy,academic,Special Collections Special collections and archive materials may only be used in designated areas under supervision. Removal of special collection items from the designated area is prohibited and constitutes theft subject to disciplinary and legal action,36,numbered_clause
C000158,library_borrowing_policy,academic,Academic Integrity Photocopying beyond the permitted fair use limits and sharing library access credentials are prohibited and may constitute copyright infringement,21,numbered_clause
C000159,online_learning_policy,academic,Identity Verification Students participating in online assessments must verify their identity as required. Allowing another person to complete an online assessment on one's behalf constitutes contract cheating and will result in expulsion,32,numbered_clause
C000160,online_learning_policy,academic,"Assessment Integrity Online assessments must be completed independently unless group work is explicitly permitted. Use of unauthorized resources, websites, or AI tools during timed online assessments is treated as examination misconduct",31,numbered_clause
C000161,online_learning_policy,academic,Technical Issues Students experiencing technical issues during timed assessments must notify the module leader within 30 minutes of the issue occurring. Technical issues reported after assessment submission will not be considered as grounds for appeal,35,numbered_clause
C000162,online_learning_policy,academic,Recording of Sessions Online teaching sessions may be recorded for students who are unable to attend. Students must not share recordings outside the enrolled cohort. Redistribution of teaching recordings constitutes a breach of intellectual property rights,36,numbered_clause
C000163,online_learning_policy,academic,Participation Requirements Students must participate actively in online discussions and group activities as required by their programme. Consistent failure to participate may be treated as non-engagement and reported accordingly,29,numbered_clause
